accuracy,precision,recall,f1,roc_auc,pr_auc,ece,tn,fp,fn,tp,seed,model,split_type,noise_group,noise_rate,weight_text
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9994882729211088,0.9983936222451126,0.024152006864252902,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,qualifier,0.2,0.5
0.9840909090909091,1.0,0.9333333333333333,0.9655172413793104,0.9993745557924661,0.9980318722149062,0.024339488510325795,335,0,7,98,29,retuned_text_hrkg_late_fusion,transcript,qualifier,0.3,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.999317697228145,0.9980037378734363,0.02801858493487573,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,entity,0.0,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.9992608386638238,0.9978600906709656,0.027945728808382107,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,entity,0.05,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.9992892679459844,0.9979313055976142,0.0309979483200242,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,entity,0.1,0.5
0.9886363636363636,0.9807692307692307,0.9714285714285714,0.9760765550239234,0.9989765458422175,0.997058996012198,0.0299497568600237,333,2,3,102,31,retuned_text_hrkg_late_fusion,transcript,entity,0.2,0.5
0.9886363636363636,0.9807692307692307,0.9714285714285714,0.9760765550239234,0.9987206823027719,0.996051623822223,0.030510326302823465,333,2,3,102,31,retuned_text_hrkg_late_fusion,transcript,entity,0.3,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.999317697228145,0.9980037378734363,0.02801858493487573,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,relation,0.0,0.5
0.9863636363636363,0.9805825242718447,0.9619047619047619,0.9711538461538461,0.9987206823027718,0.9962117180763399,0.02405490543311201,333,2,4,101,31,retuned_text_hrkg_late_fusion,transcript,relation,0.05,0.5
0.9886363636363636,0.9807692307692307,0.9714285714285714,0.9760765550239234,0.9989481165600568,0.9969331784197233,0.028968874113589834,333,2,3,102,31,retuned_text_hrkg_late_fusion,transcript,relation,0.1,0.5
0.9863636363636363,0.9805825242718447,0.9619047619047619,0.9711538461538461,0.9986638237384506,0.9960054799744169,0.024390992772975323,333,2,4,101,31,retuned_text_hrkg_late_fusion,transcript,relation,0.2,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.9993745557924663,0.9981523815003409,0.03211421219044913,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,relation,0.3,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.999317697228145,0.9980037378734363,0.02801858493487573,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,qualifier,0.0,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.9993745557924663,0.9981543073677573,0.027689289300251056,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,qualifier,0.05,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.999317697228145,0.9980037378734363,0.027906830934181087,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,qualifier,0.1,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.999317697228145,0.9979284272627065,0.029870641123326363,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,qualifier,0.2,0.5
0.990909090909091,0.9809523809523809,0.9809523809523809,0.9809523809523809,0.9993461265103056,0.9980590108187349,0.028986085574921404,333,2,2,103,31,retuned_text_hrkg_late_fusion,transcript,qualifier,0.3,0.5
